iter	Passed	Remaining
417	2603	3625
418	2609	3617
419	2614	3610
420	2620	3603
421	2626	3597
422	2631	3589
423	2637	3582
424	2642	3575
425	2648	3568
426	2654	3561
427	2661	3556
428	2668	3552
429	2676	3547
430	2682	3541
431	2687	3533
432	2693	3526
433	2699	3519
434	2704	3512
435	2711	3507
436	2719	3503
437	2725	3497
438	2734	3495
439	2742	3489
440	2748	3484
441	2755	3478
442	2760	3471
443	2766	3464
444	2776	3463
445	2784	3458
446	2791	3453
447	2797	3447
448	2803	3440
449	2809	3434
450	2814	3426
451	2822	3421
452	2828	3415
453	2834	3409
454	2841	3403
455	2848	3398
456	2854	3391
457	2860	3384
458	2865	3377
459	2871	3370
460	2876	3363
461	2882	3357
462	2888	3349
463	2893	3342
464	2899	3336
465	2905	3329
466	2910	3321
467	2916	3315
468	2921	3308
469	2927	3301
470	2933	3294
471	2939	3287
472	2944	3281
473	2950	3274
474	2956	3267
475	2962	3260
476	2967	3253
477	2973	3247
478	2979	3240
479	2984	3233
480	2990	3226
481	2996	3219
482	3001	3213
483	3007	3206
484	3013	3199
485	3018	3192
486	3024	3186
487	3030	3179
488	3035	3172
489	3041	3165
490	3047	3159
491	3054	3153
492	3059	3146
493	3065	3140
494	3071	3133
495	3077	3126
496	3082	3119
497	3088	3113
498	3093	3106
499	3099	3099
500	3105	3093
501	3111	3086
502	3117	3079
503	3122	3073
504	3128	3066
505	3134	3060
506	3139	3053
507	3145	3046
508	3151	3040
509	3157	3033
510	3163	3026
511	3168	3020
512	3174	3013
513	3179	3006
514	3185	3000
515	3191	2993
516	3196	2986
517	3202	2980
518	3208	2973
519	3214	2966
520	3219	2960
521	3225	2953
522	3230	2946
523	3236	2940
524	3242	2933
525	3248	2926
526	3253	2920
527	3259	2913
528	3264	2906
529	3270	2900
530	3275	2893
531	3284	2889
532	3290	2882
533	3296	2876
534	3303	2870
535	3308	2864
536	3314	2857
537	3320	2851
538	3327	2845
539	3333	2839
540	3338	2832
541	3344	2826
542	3350	2819
543	3355	2813
544	3361	2806
545	3367	2799
546	3372	2793
547	3378	2786
548	3384	2780
549	3391	2775
550	3398	2769
551	3406	2764
552	3412	2758
553	3418	2752
554	3426	2747
555	3432	2740
556	3437	2734
557	3443	2727
558	3448	2720
559	3454	2714
560	3461	2708
561	3469	2703
562	3476	2698
563	3483	2692
564	3489	2686
565	3494	2679
566	3502	2674
567	3511	2670
568	3519	2666
569	3525	2659
570	3531	2653
571	3539	2648
572	3546	2642
573	3553	2637
574	3560	2631
575	3566	2625
576	3572	2618
577	3578	2612
578	3583	2605
579	3589	2599
580	3594	2592
581	3600	2586
582	3606	2579
583	3612	2573
584	3617	2566
585	3623	2559
586	3629	2553
587	3634	2546
588	3640	2540
589	3646	2534
590	3652	2527
591	3658	2521
592	3663	2514
593	3671	2509
594	3678	2503
595	3685	2498
596	3692	2492
597	3699	2486
598	3706	2481
599	3711	2474
600	3717	2468
601	3723	2461
602	3731	2456
603	3738	2451
604	3746	2445
605	3751	2439
606	3757	2432
607	3763	2426
608	3772	2422
609	3778	2415
610	3787	2411
611	3794	2405
612	3799	2399
613	3805	2392
614	3810	2385
615	3816	2379
616	3824	2373
617	3830	2367
618	3835	2361
619	3842	2354
620	3847	2348
621	3853	2341
622	3859	2335
623	3869	2331
624	3875	2325
625	3881	2318
626	3887	2312
627	3892	2305
628	3900	2300
629	3907	2294
630	3913	2288
631	3918	2281
632	3924	2275
633	3930	2269
634	3936	2262
635	3942	2256
636	3947	2249
637	3953	2243
638	3959	2236
639	3964	2230
640	3970	2223
641	3975	2217
642	3981	2210
643	3987	2204
644	3993	2197
645	3998	2191
646	4004	2184
647	4010	2178
648	4016	2172
649	4022	2165
650	4027	2159
651	4033	2152
652	4038	2146
653	4044	2139
654	4050	2133
655	4055	2126
656	4061	2120
657	4067	2114
658	4073	2107
659	4079	2101
660	4084	2094
661	4090	2088
662	4096	2082
663	4101	2075
664	4107	2069
665	4113	2062
666	4118	2056
667	4124	2049
668	4130	2043
669	4135	2036
670	4141	2030
671	4146	2024
672	4154	2018
673	4159	2012
674	4165	2005
675	4171	1999
676	4177	1993
677	4183	1986
678	4188	1980
679	4194	1973
680	4199	1967
681	4205	1960
682	4211	1954
683	4216	1948
684	4223	1941
685	4228	1935
686	4234	1929
687	4240	1922
688	4243	1915
689	4248	1908
690	4254	1902
691	4260	1896
692	4265	1889
693	4271	1883
694	4277	1877
695	4283	1870
696	4289	1864
697	4294	1858
698	4300	1851
699	4305	1845
700	4311	1838
701	4317	1832
702	4323	1826
703	4328	1819
704	4334	1813
705	4339	1807
706	4346	1801
707	4351	1794
708	4357	1788
709	4363	1782
710	4369	1775
711	4374	1769
712	4380	1763
713	4386	1757
714	4392	1750
715	4398	1744
716	4404	1738
717	4409	1732
718	4415	1725
719	4420	1719
720	4426	1712
721	4431	1706
722	4437	1700
723	4443	1693
724	4448	1687
725	4454	1681
726	4460	1675
727	4466	1668
728	4472	1662
729	4477	1656
730	4483	1649
731	4489	1643
732	4494	1637
733	4501	1631
734	4506	1624
735	4512	1618
736	4518	1612
737	4524	1606
738	4530	1599
739	4535	1593
740	4541	1587
741	4547	1581
742	4552	1574
743	4558	1568
744	4564	1562
745	4569	1555
746	4575	1549
747	4581	1543
748	4586	1537
749	4592	1530
750	4598	1524
751	4603	1518
752	4609	1511
753	4615	1505
754	4621	1499
755	4626	1493
756	4632	1486
757	4638	1480
758	4646	1475
759	4652	1469
760	4660	1463
761	4668	1457
762	4674	1451
763	4680	1445
764	4688	1440
765	4697	1434
766	4703	1428
767	4712	1423
768	4719	1417
769	4725	1411
770	4732	1405
771	4741	1400
772	4746	1393
773	4753	1388
774	4760	1381
775	4766	1375
776	4772	1369
777	4778	1363
778	4784	1357
779	4790	1351
780	4799	1345
781	4805	1339
782	4812	1333
783	4817	1327
784	4823	1321
785	4830	1315
786	4836	1309
787	4842	1302
788	4847	1296
789	4856	1290
790	4862	1284
791	4869	1278
792	4874	1272
793	4881	1266
794	4887	1260
795	4893	1254
796	4900	1248
797	4907	1242
798	4913	1236
799	4919	1229
800	4926	1224
801	4933	1218
802	4941	1212
803	4946	1205
804	4952	1199
805	4959	1193
806	4966	1187
807	4972	1181
808	4978	1175
809	4983	1169
810	4989	1162
811	4996	1156
812	5002	1150
813	5010	1144
814	5016	1138
815	5021	1132
816	5027	1126
817	5034	1120
818	5043	1114
819	5051	1108
820	5057	1102
821	5064	1096
822	5070	1090
823	5076	1084
824	5083	1078
825	5090	1072
826	5097	1066
827	5103	1060
828	5108	1053
829	5114	1047
830	5120	1041
831	5126	1035
832	5131	1028
833	5137	1022
834	5143	1016
835	5149	1010
836	5154	1003
837	5160	997
838	5166	991
839	5172	985
840	5178	979
841	5185	972
842	5192	967
843	5198	960
844	5204	954
845	5210	948
846	5215	942
847	5221	935
848	5227	929
849	5234	923
850	5240	917
851	5246	911
852	5252	905
853	5257	898
854	5263	892
855	5269	886
856	5275	880
857	5281	874
858	5287	867
859	5293	861
860	5298	855
861	5304	849
862	5310	842
863	5315	836
864	5321	830
865	5327	824
866	5332	818
867	5338	811
868	5344	805
869	5349	799
870	5355	793
871	5360	786
872	5366	780
873	5372	774
874	5378	768
875	5384	762
876	5389	755
877	5395	749
878	5401	743
879	5406	737
880	5412	731
881	5417	724
882	5423	718
883	5429	712
884	5435	706
885	5441	700
886	5448	694
887	5454	687
888	5461	681
889	5467	675
890	5479	670
891	5486	664
892	5491	658
893	5497	651
894	5503	645
895	5511	639
896	5517	633
897	5524	627
898	5530	621
899	5536	615
900	5542	608
901	5552	603
902	5557	597
903	5565	590
904	5572	584
905	5578	578
906	5584	572
907	5591	566
908	5597	560
909	5603	554
910	5608	547
911	5616	541
912	5622	535
913	5629	529
914	5638	523
915	5648	517
916	5656	511
917	5662	505
918	5668	499
919	5675	493
920	5681	487
921	5689	481
922	5695	475
923	5704	469
924	5710	462
925	5715	456
926	5721	450
927	5729	444
928	5736	438
929	5741	432
930	5749	426
931	5754	419
932	5760	413
933	5767	407
934	5772	401
935	5778	395
936	5785	388
937	5792	382
938	5798	376
939	5805	370
940	5812	364
941	5821	358
942	5827	352
943	5837	346
944	5844	340
945	5849	333
946	5855	327
947	5861	321
948	5866	315
949	5874	309
950	5879	302
951	5887	296
952	5893	290
953	5898	284
954	5905	278
955	5910	272
956	5916	265
957	5922	259
958	5928	253
959	5934	247
960	5942	241
961	5948	234
962	5953	228
963	5959	222
964	5965	216
965	5970	210
966	5976	203
967	5982	197
968	5988	191
969	5994	185
970	5999	179
971	6005	173
972	6011	166
973	6017	160
974	6023	154
975	6028	148
976	6034	142
977	6040	135
978	6045	129
979	6052	123
980	6057	117
981	6063	111
982	6068	104
983	6074	98
984	6079	92
985	6085	86
986	6091	80
987	6097	74
988	6102	67
989	6108	61
990	6114	55
991	6119	49
992	6125	43
993	6130	37
994	6136	30
995	6142	24
996	6148	18
997	6153	12
998	6159	6
999	6165	0
