Taxon	01th.1F-003	01th.2F-010	01th.2F-012	01th.2F-014	01th.2F-015	01th.2F-016	01th.2F-019	01th.2F-021	01th.2F-022	01th.2F-023	01th.2F-024	01th.2F-025	01th.2F-026	01th.2F-027	01th.2F-028	01th.2F-029	01th.2F-030	01th.2F-031	01th.2F-032	01th.3F-015	01th.3F-016	01th.3F-017	01th.3F-018	01th.3F-019	01th.3F-020	01th.3F-021	01th.3F-024	01th.3F-025	01th.3F-026	01th.3F-027	01th.3F-028	01th.4F-004	01th.4F-027	01th.4F-035	01th.4F-037	01th.4F-038	01th.4F-039	01th.4F-040	01th.4F-041	01th.4F-042	01th.4F-043	01th.4F-044	01th.4F-045	01th.4F-046	01th.4F-047	01th.4F-048	01th.4F-049	01th.4F-050	01th.4F-051	01th.4F-052	01th.4F-053	01th.4F-054	01th.4F-055	01th.4F-056	01th.4F-057	01th.4F-058	01th.4F-059	01th.4F-060	01th.4F-061	01th.4F-062	01th.4F-063	01th.4F-064	01th.4F-065	01th.4F-066	01th.4F-067	01th.4F-068	01th.4F-069	01th.4F-070	01th.4F-071	01th.4F-072	01th.4F-075	01th.4F-076	01th.4F-078	01th.4F-080	01th.4F-081	01th.4F-082	01th.4F-083	01th.4F-085	01th.4F-086	01th.4F-087	01th.4F-088	01th.4F-089	01th.4F-090	01th.4F-091	02th.5F-006	02th.5F-010	02th.5F-013	02th.5F-014	02th.5F-015	02th.5F-016	02th.5F-017	02th.5F-018	02th.5F-019	02th.5F-020	02th.5F-021	02th.5F-022	02th.5F-023	02th.5F-024	02th.5F-025	02th.5F-026	02th.5F-027	02th.5F-028	02th.5F-029	02th.5F-030	02th.5F-031	02th.5F-032	02th.5F-033	02th.5F-034	02th.5F-035	02th.5F-036	02th.5F-037	02th.5F-038	02th.5F-039	02th.5F-040	02th.5F-041	02th.5F-042	02th.5F-043	02th.5F-044	02th.5F-045	02th.5F-046	02th.5F-047	02th.5F-048	02th.5F-049	02th.5F-050	02th.5F-051	02th.5F-052	02th.5F-053	02th.5F-054	02th.5F-055	02th.5F-056	02th.5F-057	02th.5F-058	02th.5F-059	02th.5F-060	02th.5F-062	02th.5F-063	02th.5F-065	02th.5F-067	02th.5F-068	02th.5F-069	02th.5F-070	02th.5F-072	02th.5F-073	02th.5F-074	02th.5F-075	02th.5F-076	02th.5F-077	02th.5F-079	02th.6F-002	02th.6F-003	02th.6F-004	02th.6F-005	02th.6F-006	02th.6F-007	02th.6F-008	02th.6F-009	02th.6F-010	02th.6F-011	02th.6F-012	02th.6F-013	02th.6F-014	02th.6F-015	02th.6F-016	02th.6F-017	02th.6F-018	02th.6F-019	02th.6F-020	02th.7F-001	02th.7F-002	03th.2F-009	03th.2F-074	03th.2F-095	03th.2F-099	03th.3F-006	03th.3F-009	03th.3F-011	03th.3F-014	03th.4F-003	03th.4F-006	03th.4F-019	03th.4F-021	03th.4F-028	03th.4F-032	03th.5F-005	03th.5F-012	03th.6F-001	03th.6F-034	03th.6F-042	03th.6F-045	03th.6F-050	03th.6F-058	03th.6F-059	03th.6F-087	03th.6F-090	03th.6F-093	03th.6F-096	03th.6F-098	03th.6F-099	03th.6F-102	03th.6F-103	03th.6F-104	03th.7F-028	03th.7F-029	03th.7F-031	03th.7F-032	03th.7F-033	03th.7F-034	03th.7F-035	03th.7F-036	03th.7F-037	03th.7F-039	03th.7F-040	03th.7F-042	03th.7F-044	03th.7F-045	03th.7F-046	03th.7F-047	03th.7F-048	03th.7F-049	03th.7F-050	03th.7F-053	03th.7F-054	03th.7F-055	03th.7F-056	03th.7F-057	03th.7F-059	03th.7F-061	03th.7F-062	03th.7F-063	03th.7F-066	03th.7F-067	03th.7F-068	03th.7F-069	03th.7F-070	03th.7F-072	03th.7F-075	03th.7F-076	03th.7F-077	03th.7F-078	03th.7F-079	03th.7F-081	03th.8F-002	09th.1F-009	09th.1F-018	09th.1F-023	09th.1F-029	09th.1F-030	09th.1F-031	09th.1F-032	09th.1F-033	09th.1F-034	09th.1F-035	09th.1F-036	09th.2F-048	09th.2F-067	09th.2F-068	09th.2F-069	09th.2F-072	09th.2F-073	09th.2F-080	09th.2F-082	09th.2F-085	09th.2F-086	09th.2F-087	09th.2F-088	09th.2F-091	09th.3F-046	09th.3F-047	09th.3F-055	09th.3F-059	09th.3F-060	09th.3F-062	09th.3F-064	09th.3F-066	09th.3F-068	09th.3F-071	09th.3F-084	09th.3F-089	09th.4F-015	09th.4F-105	09th.5F-091	09th.5F-092	09th.6F-024	09th.6F-025	09th.6F-027	09th.6F-055	09th.6F-085	09th.6F-088	09th.6F-097	09th.7F-011	09th.7F-052	09th.7F-064	09th.7F-083	09th.7F-091	09th.7F-092	09th.7F-094	09th.7F-097	09th.7F-098	09th.7F-105	11th.1F-006	11th.1F-027	11th.1F-039	11th.2F-001	11th.2F-078	11th.2F-098	11th.2F-100	11th.2F-103	11th.3F-001	11th.3F-003	11th.3F-004	11th.3F-040	11th.3F-048	11th.3F-051	11th.3F-052	11th.3F-067	11th.3F-070	11th.3F-072	11th.3F-073	11th.3F-074	11th.3F-075	11th.3F-077	11th.3F-078	11th.3F-082	11th.3F-092	11th.4F-001	11th.4F-005	11th.5F-002	11th.5F-003	11th.5F-083	11th.5F-099	11th.5F-101	11th.6F-041	11th.6F-043	11th.6F-057	11th.6F-061	11th.6F-062	11th.6F-064	11th.6F-065	11th.6F-068	11th.6F-070	11th.6F-074	11th.6F-077	11th.6F-078	11th.6F-079	11th.6F-081	11th.6F-084	11th.6F-086	11th.6F-089	11th.7F-005	11th.7F-012	11th.7F-013	11th.7F-017	11th.7F-020	11th.7F-093	12th.1F-001	12th.1F-020	12th.1F-021	12th.1F-028	12th.1F-038	12th.1F-040	12th.2F-043	12th.2F-044	12th.2F-047	12th.2F-049	12th.2F-053	12th.2F-061	12th.2F-065	12th.2F-066	12th.2F-093	12th.2F-094	12th.2F-101	12th.3F-002	12th.3F-030	12th.3F-038	12th.3F-054	12th.3F-056	12th.3F-080	12th.3F-081	12th.3F-086	12th.4F-002	12th.4F-007	12th.4F-008	12th.4F-009	12th.4F-010	12th.4F-011	12th.4F-097	12th.4F-099	12th.4F-100	12th.5F-001	12th.5F-081	12th.5F-090	12th.5F-098	12th.5F-102	12th.5F-103	12th.6F-022	12th.6F-028	12th.6F-035	12th.6F-044	12th.6F-049	12th.6F-052	12th.6F-056	12th.6F-072	12th.6F-091	12th.7F-008	12th.7F-025	12th.7F-084	12th.7F-086	12th.7F-087	12th.7F-089	12th.7F-095	12th.7F-099	12th.7F-100	12th.7F-101	12th.7F-102	12th.7F-103	12th.7F-104	13th.1F-008	13th.1F-012	13th.1F-015	13th.1F-017	13th.1F-024	13th.1F-025	13th.1F-026	13th.2F-020	13th.2F-052	13th.2F-055	13th.2F-056	13th.2F-057	13th.2F-059	13th.2F-071	13th.2F-076	13th.2F-079	13th.2F-083	13th.2F-092	13th.3F-007	13th.3F-008	13th.3F-012	13th.3F-013	13th.3F-022	13th.3F-035	13th.3F-041	13th.3F-042	13th.3F-044	13th.3F-045	13th.3F-053	13th.3F-076	13th.4F-017	13th.4F-034	13th.4F-073	13th.4F-084	13th.4F-098	13th.4F-101	13th.5F-008	13th.5F-080	13th.5F-082	13th.5F-087	13th.5F-088	13th.5F-096	13th.5F-100	13th.6F-029	13th.6F-048	13th.6F-063	13th.6F-066	13th.6F-067	13th.6F-073	13th.6F-075	13th.6F-082	13th.6F-083	13th.6F-101	13th.7F-004	13th.7F-015	13th.7F-018	13th.7F-021	13th.7F-022	13th.7F-023	13th.7F-030	13th.7F-041	13th.7F-043	13th.7F-058	13th.7F-065	13th.7F-073	13th.7F-074	14th.1F-037	14th.2F-004	14th.2F-006	14th.2F-017	14th.2F-018	14th.2F-058	14th.3F-023	14th.3F-050	14th.3F-090	14th.3F-091	14th.4F-012	14th.4F-013	14th.4F-022	14th.4F-029	14th.4F-079	14th.5F-061	14th.5F-064	14th.5F-066	14th.5F-071	14th.7F-051	14th.7F-060	14th.7F-071	14th.7F-082	14th.7F-085	14th.7F-088	14th.7F-090	14th.7F-096	14th.8F-001	16th.1F011	16th.1F016	16th.1F041	16th.1F042	16th.1F044	16th.1F045	16th.1F046	16th.1F048	16th.1F052	16th.1F053	16th.1F054	16th.1F055	16th.1F056	16th.1F057	16th.1F058	16th.1F059	16th.1F060	16th.1F063	16th.1F064	16th.1F065	16th.1F068	16th.1F070	16th.1F071	16th.2F035	16th.2F036	16th.2F042	16th.2F089	16th.2F090	16th.2F104	16th.3F029	16th.3F032	16th.3F034	16th.3F036	16th.3F094	16th.3F095	16th.3F098	16th.3F099	16th.3F100	16th.4F093	16th.4F094	16th.4F095	16th.4F096	16th.6F071	16th.6F076	16th.8F054	17th.1F005	17th.1F010	17th.1F014	17th.1F043	17th.1F051	17th.1F066	17th.1F069	17th.1F073	17th.2F002	17th.2F003	17th.2F005	17th.2F007	17th.2F033	17th.2F034	17th.2F037	17th.2F039	17th.2F041	17th.2F046	17th.2F054	17th.2F064	17th.2F081	17th.2F084	17th.3F010	17th.3F031	17th.3F033	17th.3F037	17th.3F057	17th.3F058	17th.3F065	17th.3F069	17th.3F103	17th.4F014	17th.4F016	17th.4F018	17th.4F020	17th.4F023	17th.4F024	17th.4F031	17th.4F036	17th.4F104	17th.5F007	17th.5F009	17th.5F011	17th.5F084	17th.5F085	17th.5F086	17th.5F089	17th.6F023	17th.6F060	17th.6F080	17th.7F016	17th.7F019	17th.7F026	17th.7F027	17th.8F053	17th.8F055	17th.8F056	17th.8F057	17th.8F058	17th.8F059	18th_19th.1F013	18th_19th.1F019	18th_19th.1F047	18th_19th.1F050	18th_19th.1F061	18th_19th.1F062	18th_19th.1F067	18th_19th.1F072	18th_19th.1F074	18th_19th.1F075	18th_19th.1F076	18th_19th.2F008	18th_19th.2F045	18th_19th.2F050	18th_19th.2F060	18th_19th.2F062	18th_19th.2F063	18th_19th.2F070	18th_19th.2F075	18th_19th.2F077	18th_19th.2F102	18th_19th.2F105	18th_19th.3F005	18th_19th.3F039	18th_19th.3F049	18th_19th.3F061	18th_19th.3F083	18th_19th.3F093	18th_19th.3F096	18th_19th.3F101	18th_19th.3F102	18th_19th.4F025	18th_19th.4F030	18th_19th.4F033	18th_19th.4F103	18th_19th.5F094	18th_19th.5F095	18th_19th.6F026	18th_19th.6F030	18th_19th.6F031	18th_19th.6F033	18th_19th.6F036	18th_19th.6F037	18th_19th.6F038	18th_19th.6F039	18th_19th.6F040	18th_19th.6F046	18th_19th.6F047	18th_19th.6F053	18th_19th.6F054	18th_19th.6F069	18th_19th.6F092	18th_19th.6F094	18th_19th.7F006	18th_19th.7F007	18th_19th.7F009	18th_19th.7F010	18th_19th.7F024	18th_19th.8F060	21th.1F007-re	21th.1F022-re	21th.2F011-re	21th.2F051-re
g__Actinomyces	720.0	828.0	120.0	754.0	1902.0	2018.0	2064.0	360.0	0.0	1309.0	419.0	92.0	170.0	370.0	96.0	291.0	307.0	479.0	155.0	3279.0	445.0	208.0	553.0	132.0	299.0	426.0	154.0	6240.0	109.0	721.0	1486.0	3946.0	5463.0	536.0	369.0	1353.0	267.0	185.0	363.0	738.0	787.0	198.0	63.0	274.0	1801.0	5434.0	197.0	4905.0	657.0	279.0	180.0	172.0	724.0	438.0	1274.0	261.0	61.0	1520.0	97.0	0.0	0.0	167.0	39.0	18.0	72.0	686.0	7534.0	1772.0	36.0	129.0	41.0	166.0	0.0	469.0	583.0	1038.0	944.0	157.0	770.0	48.0	243.0	948.0	351.0	257.0	0.0	395.0	233.0	373.0	305.0	458.0	247.0	141.0	72.0	433.0	669.0	1837.0	1534.0	229.0	40.0	0.0	1812.0	228.0	360.0	786.0	439.0	201.0	0.0	1573.0	161.0	1073.0	200.0	740.0	504.0	0.0	840.0	21.0	1118.0	382.0	0.0	190.0	229.0	0.0	437.0	0.0	446.0	0.0	0.0	368.0	235.0	58.0	472.0	89.0	11.0	681.0	37.0	365.0	334.0	141.0	86.0	45.0	64.0	17.0	24.0	540.0	79.0	1042.0	1211.0	243.0	548.0	765.0	312.0	108.0	29.0	709.0	125.0	1040.0	2002.0	843.0	156.0	0.0	31.0	1404.0	0.0	453.0	345.0	1509.0	2.0	1091.0	385.0	398.0	10.0	141.0	135.0	385.0	0.0	0.0	0.0	25.0	39.0	0.0	0.0	0.0	0.0	203.0	0.0	113.0	0.0	14.0	119.0	0.0	28.0	1235.0	18.0	33.0	154.0	11.0	0.0	40.0	17.0	26.0	132.0	781.0	139.0	182.0	614.0	0.0	10.0	42.0	460.0	38.0	398.0	406.0	107.0	305.0	268.0	0.0	1355.0	500.0	0.0	226.0	255.0	1104.0	97.0	191.0	145.0	185.0	34.0	83.0	270.0	310.0	29.0	111.0	92.0	262.0	234.0	521.0	515.0	550.0	238.0	19.0	1206.0	29.0	448.0	201.0	57.0	89.0	472.0	0.0	0.0	507.0	2667.0	1466.0	19.0	43.0	1084.0	116.0	104.0	1222.0	183.0	317.0	192.0	1192.0	740.0	381.0	0.0	14.0	166.0	245.0	277.0	29.0	575.0	626.0	183.0	265.0	1254.0	1201.0	1362.0	1492.0	0.0	1496.0	562.0	95.0	4.0	0.0	435.0	0.0	848.0	211.0	284.0	1844.0	2428.0	800.0	1213.0	822.0	1410.0	906.0	1133.0	1218.0	800.0	188.0	637.0	655.0	691.0	468.0	1595.0	101.0	342.0	0.0	171.0	123.0	0.0	150.0	71.0	119.0	568.0	174.0	19.0	322.0	225.0	533.0	946.0	981.0	27.0	521.0	0.0	0.0	1001.0	0.0	345.0	152.0	123.0	307.0	54.0	141.0	240.0	90.0	865.0	151.0	411.0	182.0	1039.0	511.0	398.0	328.0	217.0	343.0	515.0	348.0	151.0	3039.0	90.0	71.0	199.0	0.0	85.0	130.0	245.0	368.0	53.0	133.0	54.0	110.0	585.0	0.0	95.0	199.0	189.0	80.0	272.0	175.0	0.0	0.0	0.0	0.0	211.0	74.0	58.0	169.0	65.0	0.0	198.0	141.0	72.0	46.0	108.0	710.0	178.0	34.0	13.0	152.0	83.0	249.0	326.0	215.0	0.0	115.0	189.0	159.0	111.0	33.0	36.0	259.0	207.0	226.0	244.0	0.0	97.0	67.0	0.0	76.0	121.0	246.0	22.0	176.0	161.0	0.0	179.0	0.0	385.0	12.0	92.0	24.0	136.0	197.0	0.0	425.0	4.0	16.0	30.0	0.0	0.0	7.0	0.0	0.0	414.0	20.0	188.0	15.0	159.0	173.0	467.0	12.0	158.0	67.0	142.0	920.0	1256.0	259.0	34.0	230.0	19.0	7.0	228.0	26.0	941.0	927.0	96.0	387.0	583.0	35.0	297.0	243.0	239.0	519.0	281.0	163.0	553.0	246.0	22.0	257.0	78.0	356.0	26.0	230.0	166.0	542.0	80.0	16.0	593.0	164.0	1095.0	42.0	26.0	305.0	236.0	1177.0	508.0	1857.0	23.0	8919.0	1184.0	645.0	523.0	32.0	0.0	1333.0	110.0	233.0	430.0	391.0	790.0	520.0	57.0	130.0	386.0	952.0	323.0	1417.0	138.0	277.0	554.0	706.0	370.0	114.0	6881.0	178.0	277.0	18.0	0.0	87.0	0.0	328.0	793.0	1063.0	1143.0	145.0	522.0	0.0	120.0	2373.0	46.0	28.0	181.0	96.0	6776.0	0.0	0.0	0.0	290.0	554.0	0.0	836.0	72.0	555.0	95.0	64.0	11.0	32.0	0.0	34.0	177.0	376.0	310.0	611.0	1075.0	372.0	74.0	159.0	2135.0	623.0	559.0	0.0	49.0	325.0	103.0	157.0	349.0	146.0	36.0	582.0	42.0	478.0	3.0	56.0	180.0	240.0	0.0	116.0	201.0	313.0	55.0	124.0	122.0	80.0	808.0	0.0	102.0	109.0	206.0	169.0	808.0	0.0	625.0	173.0	49.0	3459.0	103.0	701.0	104.0	54.0	1080.0	212.0	3228.0	82.0	269.0	111.0	318.0	831.0	92.0	143.0	487.0	92.0	1430.0	93.0	100.0	0.0	157.0	292.0	1488.0	348.0	595.0	662.0	537.0	740.0	733.0	374.0	856.0	784.0	134.0	399.0	217.0	184.0	197.0	56.0	104.0	663.0	115.0	1724.0	478.0	331.0	0.0	537.0	122.0	12.0	418.0	707.0	399.0	221.0	237.0	325.0	238.0	56.0	397.0	633.0	188.0	160.0	684.0	662.0	428.0	277.0	901.0	297.0	2732.0	307.0	32.0	251.0	806.0	1780.0	385.0	1120.0	670.0	200.0	294.0	350.0	5.0	441.0	50.0	437.0
g__Corynebacterium	579.0	301.0	391.0	1784.0	235.0	610.0	120.0	339.0	30.0	1006.0	1885.0	57.0	2728.0	278.0	529.0	51.0	73.0	236.0	265.0	193.0	172.0	0.0	1030.0	91.0	3747.0	8760.0	9.0	255.0	23.0	116.0	419.0	154.0	103.0	196.0	116.0	193.0	3402.0	1038.0	2857.0	548.0	171.0	6.0	238.0	144.0	6805.0	1569.0	403.0	2753.0	423.0	111.0	753.0	2306.0	287.0	449.0	92.0	132.0	41.0	107.0	243.0	0.0	35.0	284.0	198.0	0.0	358.0	2846.0	2917.0	212.0	1182.0	255.0	1224.0	4659.0	2575.0	437.0	518.0	162.0	1868.0	6901.0	569.0	0.0	75.0	310.0	58.0	40.0	720.0	793.0	0.0	4165.0	2136.0	550.0	197.0	934.0	111.0	591.0	348.0	3470.0	96.0	2000.0	55.0	35.0	62.0	202.0	177.0	28.0	404.0	210.0	0.0	1555.0	7042.0	267.0	0.0	8017.0	26.0	49.0	105.0	96.0	182.0	310.0	13.0	257.0	662.0	2457.0	111.0	0.0	53.0	0.0	33.0	85.0	42.0	15217.0	447.0	0.0	63.0	206.0	358.0	134.0	2872.0	1055.0	156.0	815.0	268.0	0.0	34.0	701.0	111.0	366.0	302.0	5106.0	2526.0	0.0	1284.0	830.0	0.0	149.0	1515.0	2245.0	5016.0	1882.0	6030.0	15.0	0.0	474.0	11.0	960.0	5414.0	2781.0	1754.0	369.0	26.0	65.0	0.0	70.0	262.0	0.0	0.0	0.0	31.0	280.0	29.0	12070.0	0.0	0.0	25.0	1399.0	0.0	0.0	0.0	51.0	0.0	7.0	114.0	289.0	0.0	391.0	109.0	9.0	64.0	0.0	12.0	9.0	119.0	483.0	80.0	1802.0	433.0	0.0	0.0	0.0	25.0	2025.0	71.0	54.0	6168.0	161.0	4894.0	17.0	255.0	43.0	0.0	15.0	266.0	699.0	349.0	16.0	69.0	188.0	0.0	0.0	568.0	17903.0	288.0	140.0	0.0	905.0	59.0	0.0	90.0	6214.0	138.0	19.0	2787.0	72.0	59830.0	48.0	221.0	19.0	134.0	0.0	0.0	157.0	209.0	1246.0	72.0	53.0	5158.0	41.0	380.0	3325.0	5755.0	250.0	46.0	247.0	19973.0	675.0	1196.0	42.0	79.0	243.0	173.0	400.0	12768.0	157.0	0.0	121.0	609.0	758.0	2798.0	3213.0	1615.0	23908.0	127.0	1273.0	34.0	0.0	1097.0	146.0	500.0	479.0	4222.0	499.0	1105.0	1014.0	2776.0	256.0	632.0	2239.0	667.0	1568.0	1653.0	50.0	127.0	1354.0	168.0	676.0	87.0	0.0	92.0	0.0	55.0	119.0	410.0	135.0	208.0	3709.0	1178.0	0.0	2258.0	433.0	9.0	63.0	376.0	107.0	90.0	186.0	82.0	373.0	626.0	33.0	119.0	103.0	2748.0	834.0	10337.0	121.0	644.0	50.0	126.0	91.0	558.0	5842.0	2013.0	276.0	80.0	103.0	488.0	283.0	4442.0	132.0	3061.0	392.0	0.0	994.0	75.0	11.0	824.0	980.0	1849.0	229.0	866.0	1097.0	604.0	515.0	688.0	155.0	627.0	2089.0	1289.0	1035.0	1787.0	1682.0	57.0	115.0	771.0	238.0	2099.0	798.0	226.0	2016.0	1024.0	289.0	2009.0	1295.0	618.0	118.0	1099.0	3749.0	1546.0	242.0	256.0	1390.0	549.0	857.0	1925.0	1454.0	53.0	342.0	452.0	841.0	69.0	485.0	52.0	1345.0	1688.0	1634.0	467.0	21.0	615.0	1669.0	209.0	608.0	1468.0	218.0	295.0	1159.0	105.0	35.0	7314.0	19.0	417.0	33.0	129.0	10.0	71.0	246.0	0.0	145.0	0.0	42.0	8.0	0.0	33.0	11.0	130.0	0.0	335.0	13.0	1053.0	3959.0	0.0	206.0	345.0	215.0	9579.0	29.0	555.0	0.0	1531.0	54.0	219.0	627.0	125.0	34132.0	1690.0	241.0	221.0	825.0	460.0	255.0	1635.0	9091.0	45.0	529.0	1497.0	556.0	233.0	222.0	2763.0	2284.0	0.0	185.0	10814.0	121.0	31144.0	63.0	19.0	7739.0	0.0	191.0	924.0	32.0	182.0	16.0	61.0	763.0	47.0	327.0	142.0	456.0	74.0	844.0	1513.0	609.0	187.0	198.0	2568.0	890.0	193.0	115.0	154.0	111.0	315.0	61.0	53.0	29.0	627.0	150.0	15155.0	361.0	81.0	79.0	443.0	4185.0	27.0	109.0	628.0	352.0	73.0	8402.0	8188.0	398.0	401.0	2231.0	4208.0	344.0	631.0	223.0	86.0	446.0	16649.0	201.0	45.0	223.0	95.0	14.0	599.0	16.0	0.0	0.0	2849.0	1884.0	0.0	4473.0	555.0	4586.0	85.0	110.0	0.0	38.0	56.0	90.0	5022.0	78.0	150.0	524.0	1057.0	21197.0	64.0	20437.0	9127.0	63.0	159.0	0.0	47.0	83.0	85.0	97.0	19920.0	14527.0	7.0	535.0	0.0	810.0	21.0	16.0	117.0	62.0	315.0	3602.0	504.0	53.0	0.0	50.0	14.0	4928.0	312.0	20.0	34.0	2896.0	342.0	149.0	93.0	99.0	25317.0	5028.0	87.0	753.0	55.0	513.0	57.0	20.0	892.0	100.0	632.0	34030.0	910.0	43728.0	391.0	167.0	36.0	123.0	73.0	22.0	1814.0	4131.0	77.0	0.0	28.0	177.0	92.0	291.0	47.0	195.0	99.0	19632.0	70.0	241.0	54.0	381.0	0.0	28.0	38.0	151.0	25.0	0.0	187.0	92.0	10152.0	963.0	1218.0	33.0	0.0	69.0	278.0	5.0	5526.0	303.0	46.0	2272.0	30.0	42.0	31.0	307.0	2482.0	34.0	2771.0	181.0	49.0	68.0	1610.0	236.0	903.0	266.0	115.0	542.0	21.0	78.0	89.0	195.0	56.0	182.0	585.0	383.0	132.0	6630.0	31.0	659.0	160.0	23.0
