iter	MultiClass
0	2.006454061
1	1.938425587
2	1.872812552
3	1.823333946
4	1.77619218
5	1.723688705
6	1.68468492
7	1.649473769
8	1.617184607
9	1.586856832
10	1.555231292
11	1.526368656
12	1.498459797
13	1.471265691
14	1.443294666
15	1.417119588
16	1.395885537
17	1.375930721
18	1.352816818
19	1.337764612
20	1.319766351
21	1.299820912
22	1.281665143
23	1.266920555
24	1.250468204
25	1.233569512
26	1.219275798
27	1.205400483
28	1.192341236
29	1.181264771
30	1.169029652
31	1.15754483
32	1.144788909
33	1.135037962
34	1.123979636
35	1.113934586
36	1.103176431
37	1.094773927
38	1.087281912
39	1.078425722
40	1.069669614
41	1.060177771
42	1.051578879
43	1.044432481
44	1.036565471
45	1.02986026
46	1.021819883
47	1.016061119
48	1.010204891
49	1.00288878
50	0.9962246415
51	0.9898478506
52	0.9830138735
53	0.9769716397
54	0.9698746012
55	0.9651330383
56	0.9597493816
57	0.9546415563
58	0.949732347
59	0.9454411182
60	0.9398920586
61	0.9344499698
62	0.9299940366
63	0.925587821
64	0.9204463772
65	0.9171154407
66	0.9122653458
67	0.9075013213
68	0.9033145238
69	0.8989831894
70	0.8950298431
71	0.8893902329
72	0.8840746545
73	0.8812541243
74	0.8781746567
75	0.8740965814
76	0.869716196
77	0.8648551191
78	0.8605117598
79	0.8569557357
80	0.853150113
81	0.8491837646
82	0.8447869894
83	0.8404780745
84	0.8366381772
85	0.8338756088
86	0.8304080817
87	0.8257664718
88	0.8219787212
89	0.8185279435
90	0.8151702211
91	0.8112954569
92	0.8080604054
93	0.8055944125
94	0.8017663392
95	0.7981162341
96	0.7952003884
97	0.7912225413
98	0.7876539126
99	0.784479054
100	0.7806466314
101	0.7779445916
102	0.7756708136
103	0.7722548304
104	0.7698084383
105	0.7663868242
106	0.7630864156
107	0.7596097483
108	0.7553633481
109	0.7512444282
110	0.74870466
111	0.7455441422
112	0.7431333403
113	0.7399377603
114	0.7373681345
115	0.7348241066
116	0.7320435411
117	0.7306283803
118	0.7279433853
119	0.7238559583
120	0.7211291839
121	0.7183121444
122	0.7161320033
123	0.7136820031
124	0.710450284
125	0.707945157
126	0.7054906324
127	0.7033363193
128	0.7014204336
129	0.6991443373
130	0.6966556412
