iter	Passed	Remaining
0	18	18208
1	27	13753
2	37	12393
3	45	11390
4	57	11493
5	65	10853
6	74	10589
7	81	10106
8	90	9916
9	99	9890
10	108	9793
11	115	9538
12	123	9369
13	131	9229
14	137	9046
15	144	8877
16	152	8812
17	162	8867
18	171	8841
19	178	8759
20	185	8636
21	193	8617
22	201	8569
23	208	8473
24	216	8458
25	226	8467
26	232	8392
27	240	8364
28	249	8368
29	256	8307
30	264	8277
31	273	8285
32	280	8219
33	286	8143
34	293	8080
35	301	8069
36	307	8013
37	315	7994
38	322	7945
39	331	7948
40	337	7904
41	344	7862
42	353	7867
43	360	7840
44	369	7837
45	381	7908
46	392	7948
47	402	7988
48	413	8029
49	422	8030
50	434	8082
51	442	8075
52	450	8045
53	457	8011
54	463	7968
55	469	7913
56	478	7913
57	487	7917
58	493	7869
59	502	7868
60	510	7854
61	518	7837
62	524	7798
63	532	7787
64	539	7762
65	549	7778
66	558	7774
67	564	7736
68	570	7699
69	581	7722
70	588	7702
71	594	7667
72	601	7633
73	607	7608
74	616	7598
75	627	7630
76	636	7634
77	646	7637
78	655	7643
79	664	7642
80	674	7654
81	685	7671
82	691	7637
83	696	7600
84	704	7579
85	712	7572
86	720	7564
87	728	7546
88	734	7518
89	742	7507
90	751	7502
91	756	7468
92	766	7470
93	773	7458
94	779	7430
95	787	7418
96	797	7419
97	803	7393
98	812	7390
99	818	7367
100	827	7361
101	834	7349
102	841	7329
103	847	7305
104	854	7280
105	860	7253
106	866	7227
107	872	7202
108	878	7179
109	886	7170
110	892	7145
111	900	7143
112	906	7118
113	913	7097
114	921	7092
115	929	7085
116	936	7069
117	946	7076
118	955	7071
119	962	7058
120	968	7034
121	976	7026
122	985	7024
123	994	7022
124	1003	7024
125	1009	7003
126	1017	6991
127	1023	6974
128	1030	6958
129	1040	6966
130	1046	6944
131	1055	6940
132	1061	6922
133	1068	6904
134	1073	6881
135	1080	6862
136	1086	6844
137	1092	6824
138	1099	6812
139	1106	6794
140	1112	6776
141	1119	6765
142	1130	6777
143	1136	6758
144	1145	6755
145	1153	6744
146	1159	6729
147	1167	6718
148	1173	6700
149	1179	6682
150	1186	6669
151	1192	6651
152	1197	6630
153	1206	6626
154	1213	6614
155	1219	6596
156	1225	6579
157	1233	6572
158	1241	6565
159	1249	6560
160	1255	6544
161	1262	6528
162	1269	6519
163	1276	6507
164	1282	6490
165	1288	6473
166	1297	6469
167	1303	6454
168	1311	6448
169	1318	6438
170	1324	6422
171	1333	6417
172	1340	6407
173	1350	6412
174	1360	6413
175	1369	6413
176	1375	6395
177	1380	6376
178	1386	6358
179	1391	6340
180	1399	6330
181	1407	6326
182	1413	6310
183	1419	6294
184	1427	6290
185	1436	6286
186	1443	6277
187	1449	6262
188	1456	6249
189	1463	6238
190	1469	6224
191	1475	6209
192	1482	6198
193	1487	6181
194	1495	6171
195	1502	6161
196	1507	6145
197	1514	6135
198	1520	6119
199	1526	6105
200	1532	6090
201	1538	6076
202	1545	6069
203	1551	6054
204	1557	6038
205	1564	6028
206	1569	6014
207	1575	6000
208	1581	5985
209	1589	5977
210	1594	5964
211	1600	5948
212	1605	5933
213	1614	5929
214	1620	5916
215	1629	5913
216	1636	5905
217	1642	5891
218	1648	5878
219	1655	5869
220	1662	5861
221	1668	5847
222	1674	5833
223	1680	5823
224	1688	5815
225	1694	5802
226	1705	5806
227	1712	5799
228	1718	5786
229	1724	5773
230	1732	5767
231	1741	5763
232	1746	5750
233	1752	5735
234	1758	5723
235	1766	5719
236	1772	5707
237	1778	5695
238	1786	5686
239	1791	5673
240	1797	5660
241	1804	5653
242	1810	5640
243	1817	5632
244	1823	5619
245	1831	5612
246	1836	5599
247	1844	5592
248	1850	5580
249	1857	5572
250	1863	5561
251	1869	5548
252	1874	5534
253	1880	5521
254	1885	5509
255	1893	5502
256	1900	5495
257	1908	5488
258	1916	5482
259	1927	5485
260	1933	5474
261	1941	5468
262	1950	5465
263	1959	5462
264	1968	5459
265	1975	5452
266	1983	5446
267	1993	5443
268	2000	5437
269	2008	5430
270	2018	5429
271	2032	5440
272	2038	5429
273	2047	5424
274	2055	5418
275	2062	5410
276	2069	5401
277	2076	5393
278	2083	5385
279	2090	5374
280	2096	5363
281	2102	5352
282	2108	5341
283	2114	5330
284	2120	5318
285	2127	5311
286	2136	5308
287	2142	5297
288	2151	5292
289	2158	5284
290	2165	5276
291	2172	5268
292	2178	5257
293	2184	5246
294	2192	5238
295	2197	5227
296	2204	5218
297	2211	5209
298	2218	5201
299	2226	5194
300	2232	5185
301	2240	5179
302	2246	5167
303	2252	5155
304	2260	5151
305	2269	5147
306	2277	5140
