iter	Passed	Remaining
408	4124	5959
409	4132	5946
410	4139	5932
411	4147	5918
412	4154	5905
413	4165	5896
414	4175	5885
415	4182	5872
416	4190	5859
417	4198	5845
418	4206	5832
419	4215	5821
420	4223	5808
421	4231	5795
422	4239	5782
423	4250	5773
424	4258	5760
425	4265	5747
426	4273	5734
427	4281	5721
428	4289	5709
429	4296	5695
430	4304	5682
431	4312	5669
432	4319	5656
433	4327	5643
434	4335	5631
435	4343	5618
436	4351	5605
437	4359	5593
438	4367	5581
439	4374	5568
440	4382	5555
441	4389	5542
442	4397	5529
443	4405	5517
444	4413	5505
445	4424	5495
446	4432	5483
447	4440	5471
448	4448	5458
449	4456	5446
450	4464	5435
451	4472	5422
452	4480	5409
453	4487	5397
454	4495	5384
455	4503	5372
456	4510	5359
457	4518	5346
458	4525	5334
459	4533	5322
460	4543	5311
461	4550	5299
462	4558	5287
463	4566	5275
464	4574	5262
465	4582	5250
466	4589	5238
467	4597	5225
468	4608	5217
469	4618	5207
470	4629	5199
471	4640	5190
472	4653	5185
473	4664	5175
474	4675	5167
475	4687	5159
476	4697	5150
477	4709	5143
478	4718	5132
479	4726	5120
480	4734	5108
481	4742	5096
482	4750	5084
483	4757	5072
484	4765	5060
485	4773	5048
486	4781	5036
487	4789	5024
488	4796	5012
489	4804	5001
490	4812	4989
491	4820	4976
492	4828	4965
493	4836	4954
494	4844	4942
495	4851	4930
496	4859	4918
497	4866	4906
498	4874	4894
499	4882	4882
500	4889	4870
501	4898	4859
502	4907	4848
503	4916	4837
504	4923	4826
505	4931	4814
506	4938	4802
507	4946	4790
508	4954	4778
509	4961	4767
510	4969	4755
511	4976	4743
512	4984	4732
513	4992	4720
514	5000	4708
515	5008	4697
516	5015	4685
517	5023	4674
518	5030	4662
519	5038	4651
520	5046	4639
521	5053	4627
522	5061	4616
523	5069	4604
524	5076	4593
525	5084	4581
526	5092	4570
527	5101	4560
528	5108	4548
529	5116	4537
530	5123	4525
531	5131	4514
532	5139	4503
533	5147	4492
534	5155	4480
535	5162	4469
536	5170	4458
537	5178	4447
538	5186	4435
539	5193	4424
540	5204	4416
541	5212	4404
542	5220	4393
543	5227	4382
544	5235	4371
545	5243	4360
546	5250	4348
547	5258	4337
548	5266	4326
549	5273	4314
550	5281	4303
551	5288	4292
552	5296	4281
553	5305	4271
554	5313	4260
555	5321	4249
556	5328	4238
557	5336	4227
558	5344	4216
559	5351	4204
560	5359	4193
561	5367	4183
562	5375	4172
563	5382	4160
564	5389	4149
565	5397	4138
566	5404	4127
567	5412	4116
568	5420	4105
569	5427	4094
570	5435	4084
571	5443	4073
572	5451	4062
573	5458	4051
574	5466	4040
575	5473	4029
576	5481	4018
577	5489	4007
578	5497	3997
579	5504	3986
580	5512	3975
581	5520	3964
582	5527	3953
583	5535	3943
584	5543	3932
585	5551	3921
586	5558	3910
587	5566	3900
588	5574	3889
589	5582	3879
590	5590	3868
591	5599	3858
592	5610	3850
593	5618	3840
594	5627	3830
595	5636	3820
596	5646	3811
597	5654	3800
598	5664	3791
599	5673	3782
600	5680	3771
601	5689	3761
602	5697	3751
603	5707	3741
604	5717	3732
605	5724	3722
606	5732	3711
607	5740	3701
608	5748	3690
609	5756	3680
610	5763	3669
611	5771	3659
612	5779	3648
613	5786	3637
614	5795	3627
615	5803	3617
616	5813	3608
617	5820	3597
618	5830	3588
619	5838	3578
620	5850	3570
621	5860	3561
622	5869	3552
623	5878	3542
624	5887	3532
625	5895	3522
626	5904	3512
627	5915	3503
628	5922	3493
629	5931	3483
630	5938	3473
631	5946	3462
632	5954	3452
633	5962	3441
634	5970	3431
635	5977	3421
636	5985	3410
637	5993	3400
638	6000	3390
639	6008	3380
640	6016	3369
641	6024	3359
642	6032	3349
643	6040	3339
644	6052	3331
645	6065	3323
646	6073	3313
647	6081	3303
648	6090	3293
649	6098	3283
650	6106	3273
651	6113	3263
652	6122	3253
653	6130	3243
654	6137	3232
655	6145	3222
656	6153	3212
657	6160	3202
658	6170	3193
659	6178	3182
660	6187	3173
661	6194	3162
662	6202	3152
663	6210	3142
664	6218	3132
665	6227	3122
666	6234	3112
667	6242	3102
668	6255	3095
669	6263	3084
670	6270	3074
671	6278	3064
672	6286	3054
673	6294	3044
674	6302	3034
675	6310	3024
676	6319	3015
677	6327	3004
678	6336	2995
679	6345	2986
680	6356	2977
681	6366	2968
682	6374	2958
683	6383	2949
684	6391	2939
685	6399	2929
686	6408	2919
687	6418	2910
688	6428	2901
689	6437	2892
690	6448	2883
691	6459	2875
692	6468	2865
693	6481	2857
694	6490	2848
695	6499	2838
696	6508	2829
697	6516	2819
698	6527	2811
699	6537	2801
700	6546	2792
701	6554	2782
702	6563	2772
703	6571	2763
704	6580	2753
705	6588	2743
706	6603	2736
707	6615	2728
708	6631	2721
709	6645	2714
710	6659	2707
711	6674	2699
712	6685	2691
713	6696	2682
714	6706	2673
715	6716	2664
716	6728	2655
717	6739	2646
718	6749	2637
719	6764	2630
720	6774	2621
721	6783	2611
722	6798	2604
723	6808	2595
724	6820	2587
725	6831	2578
726	6841	2568
727	6848	2558
728	6856	2548
729	6865	2539
730	6876	2530
731	6884	2520
732	6895	2511
733	6905	2502
734	6915	2493
735	6926	2484
736	6937	2475
737	6948	2466
738	6959	2457
739	6969	2448
740	6979	2439
741	6990	2430
742	7004	2422
743	7014	2413
744	7022	2403
745	7034	2395
746	7046	2386
747	7058	2378
748	7068	2368
749	7076	2358
750	7087	2349
751	7095	2340
752	7105	2330
753	7116	2321
754	7127	2312
755	7137	2303
756	7149	2294
757	7157	2284
758	7170	2276
759	7185	2269
760	7199	2260
761	7208	2251
762	7216	2241
763	7228	2232
764	7239	2224
765	7251	2215
766	7263	2206
767	7275	2197
768	7284	2188
769	7295	2179
770	7305	2169
771	7322	2162
772	7336	2154
773	7345	2144
774	7356	2135
775	7368	2127
776	7380	2118
777	7388	2108
778	7401	2099
779	7413	2090
780	7423	2081
781	7436	2072
782	7444	2063
783	7454	2053
784	7468	2045
785	7479	2036
786	7488	2026
787	7500	2017
788	7510	2008
789	7519	1998
790	7531	1989
791	7542	1980
792	7555	1972
793	7568	1963
794	7580	1954
795	7592	1945
796	7607	1937
797	7618	1928
798	7626	1918
799	7636	1909
800	7645	1899
801	7653	1889
802	7662	1879
803	7673	1870
804	7685	1861
805	7695	1852
806	7704	1842
807	7712	1832
808	7724	1823
809	7735	1814
810	7746	1805
811	7759	1796
812	7770	1787
813	7783	1778
814	7792	1768
815	7800	1758
816	7808	1749
817	7821	1740
818	7829	1730
819	7841	1721
820	7854	1712
821	7864	1703
822	7876	1694
823	7885	1684
824	7894	1674
825	7904	1665
826	7913	1655
827	7923	1645
828	7935	1636
829	7944	1627
830	7953	1617
831	7962	1607
832	7970	1597
833	7979	1588
834	7987	1578
835	7994	1568
836	8005	1559
837	8014	1549
838	8022	1539
839	8030	1529
840	8041	1520
841	8050	1510
842	8060	1501
843	8071	1491
844	8083	1482
845	8091	1472
846	8100	1463
847	8108	1453
848	8117	1443
849	8128	1434
850	8136	1424
851	8145	1414
852	8153	1405
853	8163	1395
854	8171	1385
855	8180	1376
856	8188	1366
857	8197	1356
858	8205	1346
859	8212	1336
860	8222	1327
861	8231	1317
862	8241	1308
863	8251	1298
864	8260	1289
865	8268	1279
866	8279	1270
867	8292	1261
868	8302	1251
869	8311	1241
870	8321	1232
871	8332	1223
872	8340	1213
873	8353	1204
874	8364	1194
875	8372	1185
876	8381	1175
877	8392	1166
878	8400	1156
879	8410	1146
880	8422	1137
881	8430	1127
882	8439	1118
883	8449	1108
884	8458	1099
885	8471	1090
886	8482	1080
887	8494	1071
888	8502	1061
889	8511	1051
890	8519	1042
891	8528	1032
892	8539	1023
893	8549	1013
894	8563	1004
895	8575	995
896	8591	986
897	8607	977
898	8621	968
899	8632	959
900	8643	949
901	8655	940
902	8668	931
903	8681	921
904	8694	912
905	8705	903
906	8719	894
907	8735	885
908	8745	875
909	8757	866
910	8769	856
911	8782	847
912	8793	837
913	8803	828
914	8815	818
915	8829	809
916	8840	800
917	8851	790
918	8864	781
919	8877	771
920	8888	762
921	8899	752
922	8911	743
923	8921	733
924	8929	724
925	8941	714
926	8954	705
927	8967	695
928	8979	686
929	8988	676
930	9000	667
931	9008	657
932	9016	647
933	9024	637
934	9036	628
935	9048	618
936	9060	609
937	9071	599
938	9079	589
939	9089	580
940	9101	570
941	9111	560
942	9121	551
943	9130	541
944	9140	531
945	9152	522
946	9160	512
947	9170	503
948	9180	493
949	9188	483
950	9200	474
951	9212	464
952	9222	454
953	9231	445
954	9241	435
955	9250	425
956	9262	416
957	9273	406
958	9282	396
959	9294	387
960	9302	377
961	9311	367
962	9324	358
963	9338	348
964	9350	339
965	9359	329
966	9370	319
967	9381	310
968	9391	300
969	9402	290
970	9415	281
971	9425	271
972	9436	261
973	9448	252
974	9456	242
