iter	MultiClass
0	2.002265108
1	1.92171284
2	1.837303505
3	1.764414318
4	1.698261838
5	1.641645843
6	1.565117709
7	1.501657481
8	1.458002965
9	1.41318226
10	1.379005047
11	1.344597041
12	1.311182012
13	1.274225855
14	1.241649417
15	1.21140699
16	1.182791859
17	1.158351978
18	1.133575371
19	1.107002609
20	1.082871963
21	1.062695093
22	1.041109582
23	1.017981384
24	0.9960434045
25	0.9781001695
26	0.9622516468
27	0.9427232767
28	0.9227107657
29	0.9092342351
30	0.8960438118
31	0.8813925775
32	0.8689134425
33	0.855527202
34	0.8428531035
35	0.8321353113
36	0.8212551495
37	0.8050192696
38	0.7961957958
39	0.7866199327
40	0.7760805283
41	0.766905483
42	0.7582729044
43	0.7499260202
44	0.7418940736
45	0.7334884829
46	0.7254586285
47	0.7157420173
48	0.7072494358
49	0.6988039054
50	0.690407511
51	0.6825533662
52	0.6745659767
53	0.667233109
54	0.6584826725
55	0.6506180127
56	0.6443689586
57	0.6371330498
58	0.6313346468
59	0.6246533802
60	0.6167409865
61	0.6107461525
62	0.6048283127
63	0.5995166499
64	0.5944485877
65	0.5890758668
66	0.5842278551
67	0.5795108088
68	0.5746915543
69	0.5701480852
70	0.5637942111
71	0.5587905256
72	0.5531068101
73	0.5467300651
74	0.5423706359
75	0.537370321
76	0.5329851996
77	0.5291763458
78	0.5253381104
79	0.5215091059
80	0.5172769436
81	0.5121726529
82	0.5076840705
83	0.5037678605
84	0.4988476101
85	0.4947071588
86	0.4924550348
87	0.4886971872
88	0.4841183724
89	0.479048298
90	0.4749572795
91	0.4723492699
92	0.4686517943
93	0.4650508867
94	0.4605793735
95	0.4558820267
96	0.4543454821
97	0.4508975264
98	0.4495947325
99	0.4465427597
100	0.4431967242
101	0.4398076347
102	0.43672995
103	0.4335830867
104	0.4302794765
105	0.4280970021
106	0.4252574825
107	0.4219106036
108	0.4176506481
109	0.412928416
110	0.4109039663
111	0.4071194693
112	0.4048503997
113	0.4027902392
114	0.399731006
115	0.3967333349
116	0.3938148664
117	0.391811645
118	0.3904174095
119	0.3875888147
120	0.3851255378
121	0.3838055065
122	0.3814963656
123	0.3784195403
124	0.3771135733
125	0.3747209316
126	0.3727507422
127	0.3710158213
128	0.3675574041
129	0.3652115982
130	0.3633440306
131	0.3604350662
132	0.3576324195
133	0.3553321748
134	0.3538068463
135	0.351961849
136	0.3501955806
137	0.3474879447
138	0.3455676719
139	0.3429091069
140	0.3401839818
141	0.3377679191
142	0.3353247004
143	0.332553083
144	0.3297156965
145	0.3282248369
146	0.325613664
147	0.323108694
148	0.3217755872
149	0.3201512334
150	0.3189753493
151	0.3174555789
152	0.3149523237
153	0.3140188652
154	0.3131502422
155	0.3112177137
156	0.309227788
157	0.3078634062
158	0.3057531513
159	0.3038458939
160	0.3026715681
161	0.3005888399
162	0.2991058244
163	0.2984698286
164	0.2971429715
165	0.2953494031
166	0.2935885066
167	0.2918731891
168	0.2896958524
169	0.2882291243
170	0.2860572654
171	0.2842796481
172	0.2827944103
173	0.2810772999
174	0.2790385696
175	0.276784583
176	0.2757246013
177	0.2741598836
178	0.2726427546
179	0.2713187456
180	0.2694909108
181	0.2692272285
182	0.2671350607
183	0.2654873961
184	0.2647261477
185	0.2635890191
186	0.2623459301
187	0.2610228396
188	0.2594473469
189	0.2585379426
190	0.2573745497
191	0.256550187
192	0.2552292594
193	0.2538479979
194	0.252957357
195	0.2519576881
196	0.2510992404
197	0.2496474313
198	0.2492384216
199	0.2473974137
200	0.2462208403
201	0.2446909599
202	0.2430512535
203	0.2417368368
204	0.2410449118
205	0.2394162173
206	0.2390620266
207	0.2374626718
208	0.2359920642
209	0.2347920579
210	0.2335360322
211	0.2327829173
212	0.2321589846
213	0.2311523762
214	0.2302684265
215	0.2294219663
216	0.22868239
217	0.2274539557
218	0.2262967356
219	0.2252978597
220	0.2241421969
221	0.2229596451
222	0.2213597541
223	0.2203664287
224	0.2192993139
225	0.2183874655
226	0.217626566
227	0.2166170741
228	0.2155003854
229	0.214647885
230	0.2138437396
231	0.2125954124
232	0.2112508902
